Abortion is a woman's unrestricted right,Favors
Legally require hiring women & minorities,Favors
Comfortable with same-sex marriage,Strongly Favors
Keep God in the public sphere,Favors
Expand ObamaCare,Strongly Opposes
Privatize Social Security,Favors
Vouchers for school choice,Strongly Favors
EPA regulations are too restrictive,Favors
Stricter punishment reduces crime,Opposes
Absolute right to gun ownership,Strongly Favors
Higher taxes on the wealthy,Strongly Opposes
Pathway to citizenship for illegal aliens,Strongly Favors
Support & expand free trade,Strongly Favors
Support American Exceptionalism,Favors
Expand the military,Strongly Opposes
Make voter registration easier,Opposes
Avoid foreign entanglements,Strongly Favors
Prioritize green energy,Opposes
Marijuana is a gateway drug,Strongly Opposes
Stimulus better than market-led recovery,Strongly Opposes
