Abortion is a woman's unrestricted right,Strongly Favors
Legally require hiring women & minorities,Strongly Favors
Comfortable with same-sex marriage,Strongly Favors
Keep God in the public sphere,Strongly Opposes
Expand ObamaCare,Strongly Favors
Privatize Social Security,Strongly Opposes
Vouchers for school choice,Strongly Opposes
EPA regulations are too restrictive,Strongly Opposes
Stricter punishment reduces crime,Strongly Opposes
Absolute right to gun ownership,Strongly Opposes
Higher taxes on the wealthy,Strongly Favors
Pathway to citizenship for illegal aliens,Strongly Favors
Support & expand free trade,Strongly Opposes
Support American Exceptionalism,Strongly Opposes
Expand the military,Strongly Opposes
Make voter registration easier,Strongly Favors
Avoid foreign entanglements,Strongly Favors
Prioritize green energy,Strongly Favors
Marijuana is a gateway drug,Strongly Opposes
Stimulus better than market-led recovery,Strongly Favors
