Abortion is a woman's unrestricted right,2
Legally require hiring women & minorities,2
Comfortable with same-sex marriage,1
Keep God in the public sphere,1
Expand ObamaCare,2
Privatize Social Security,-2
Vouchers for school choice,0
EPA regulations are too restrictive,-2
Stricter punishment reduces crime,-1
Absolute right to gun ownership,-1
Higher taxes on the wealthy,2
Pathway to citizenship for illegal aliens,2
Support & expand free trade,1
Support American Exceptionalism,-1
Expand the military,-1
Make voter registration easier,2
Avoid foreign entanglements,1
Prioritize green energy,1
Marijuana is a gateway drug,-1
Stimulus better than market-led recovery,1
