"STATE","FIRST NAME","GENERAL %"
"Alabama","George W.",0.6245956221803722
"Alabama","John F.",0.3684373720764406
"Alabama","Ralph",0.0035578345896278584
"Alabama","Michael",0.0018736902353076723
"Alabama","Michael",0.0010586960411457917
"Alabama","",""
"Alaska","George W.",0.6106532991253942
"Alaska","John F.",0.35516861912104364
"Alaska","Ralph",0.016215714751853818
"Alaska","Michael A.",0.006692301294314103
"Alaska","Michael",0.0053583196309637295
"Alaska","David",0.0033845386086923143
"Alaska","",""
"Arizona","George W.",0.5486943408601376
"Arizona","John F.",0.44396832928795554
"Arizona","Michael",0.005890931314702236
"Arizona","Ralph",0.001377830004695454
"Arizona","David",6.856853250918594e-05
"Arkansas","George W.",0.5430595907843537
"Arkansas","John F.",0.44547630445189085
"Arkansas","Ralph",0.005849594054666357
"Arkansas","Michael",0.0022295001161197975
"Arkansas","Michael Anthony",0.001974510519505756
"Arkansas","David",0.0014105000734635454
"California","John F.",0.5430337601832641
"California","George W.",0.4435591407786858
"California","Michael",0.004038447729050387
"California","David",0.003282199787922123
"California","Leonard",0.0022224544295005285
"California","Michael Anthony",0.0021450102609498166
"California","Ralph",0.001707716369507542
"California","Anthony",8.050329371175892e-08
"California","John Joseph",6.601270084364232e-06
"California","James",6.440263496940714e-07
"California","John",3.944661391876187e-06
"Colorado","George W.",0.5169410373040797
"Colorado","John F.",0.47022386203076516
"Colorado","Ralph",0.005969967094299944
"Colorado","Michael",0.003597564696549361
"Colorado","Michael Anthony",0.001202630578361099
"Colorado","David",0.0007468326503405576
"Colorado","Stanford E. (Andy)",0.0003774063173311177
"Colorado","John Joseph",0.00032858758971614726
"Colorado","Gene",0.00017743729844671953
"Colorado","Bill",0.0001544361671665892
"Colorado","James E.",0.00011312801303084499
"Colorado","Walter F.",0.00010139274196955401
"Colorado","Earl F.",6.571751794322945e-05
"Connecticut","John F.",0.543137089719902
"Connecticut","George W.",0.4394727791082799
"Connecticut","Ralph",0.00821462797914071
"Connecticut","David",0.0060578843390008295
"Connecticut","Michael",0.0021326742544349425
"Connecticut","Michael A.",0.0009773437405978963
"Connecticut","",""
"Delaware","John F.",0.5334683760228152
"Delaware","George W.",0.4575281857192356
"Delaware","Ralph",0.005738425864228791
"Delaware","Michael",0.0015618753165063035
"Delaware","Michael Anthony",0.0007702763932940644
"Delaware","David",0.0006663290599429623
"Delaware","Walter F.",0.0002665316239771849
"District of Columbia","John F.",0.8918386895503239
"District of Columbia","George W.",0.09339766066454
"District of Columbia","Ralph",0.006525005931823574
"District of Columbia","David",0.0032383362772754037
"District of Columbia","Michael",0.0022057595809935587
"District of Columbia","James",0.0005712126404963399
"Florida","George W.",0.5209751623233695
"Florida","John F.",0.4709111002771423
"Florida","Ralph",0.004332696874166372
"Florida","Michael",0.0015763862698280247
"Florida","Michael A.",0.00087071819138717
"Florida","David",0.0005147303283524818
"Florida","Walter F.",0.00046019545823088883
"Florida","James",0.0003590102775233547
"Georgia","George W.",0.5797475676698846
"Georgia","John F.",0.41374946053378764
"Georgia","Michael",0.005568654173764906
"Georgia","Ralph",0.0006756766988453531
"Georgia","Michael A.",0.00017565777020632216
"Georgia","David",6.905167518455424e-05
"Georgia","Tom",7.874313836835132e-06
"Georgia","John J.",2.4228657959492713e-06
"Georgia","David",2.1200075714556123e-06
"Georgia","James",1.5142911224682945e-06
"Hawaii","John F.",0.5400955215809311
"Hawaii","George W.",0.45264595711551864
"Hawaii","David",0.00404882835718265
"Hawaii","Michael",0.0032096929463675925
"Idaho","George W.",0.6838283089396388
"Idaho","John F.",0.3026132639983156
"Idaho","Michael",0.0064232922882059736
"Idaho","Michael A.",0.00515333855796754
"Idaho","Ralph",0.0018631558015998076
"Idaho","David",9.691752151819627e-05
"Idaho","John Joseph",1.5038925752823559e-05
"Idaho","Walt",5.0129752509411865e-06
"Idaho","Reverend",1.6709917503137286e-06
"Illinois","John F.",0.5482316020902781
"Illinois","George W.",0.4447862682634849
"Illinois","Michael",0.006150932764438728
"Illinois","Ralph",0.0006770538469209881
"Illinois","Michael Anthony",8.342304470603047e-05
"Illinois","David",4.569307675943941e-05
"Illinois","Peter M.",2.1803750320894325e-05
"Illinois","Ernest",7.583913155093679e-07
"Illinois","Lawson",7.583913155093679e-07
"Illinois","John Joseph",5.687934866320259e-07
"Illinois","David",3.7919565775468394e-07
"Illinois","Margaret",1.8959782887734197e-07
"Illinois","John",1.8959782887734197e-07
"Illinois","Robert M.",1.8959782887734197e-07
"Illinois","Joann",1.8959782887734197e-07
"Indiana","George Walker",0.5994476503665718
"Indiana","John F.",0.39262974665336575
"Indiana","Michael",0.007316849824270807
"Indiana","Ralph",0.0005380870842081975
"Indiana","David",4.132897785334048e-05
"Indiana","John Joseph",1.4991884123270564e-05
"Indiana","Walt",8.914093262485201e-06
"Indiana","Lawson Mitchell",2.4311163443141458e-06
"Iowa","George W.",0.4990065750530225
"Iowa","John F.",0.4923313168421695
"Iowa","Ralph",0.003963745630124732
"Iowa","Michael",0.001985522672916993
"Iowa","Michael Anthony",0.0008653481168060691
"Iowa","David",0.0007571796022053104
"Iowa","James",0.00024752672359560106
"Iowa","Bill",0.00011679545134805841
"Kansas","George W.",0.620039806155473
"Kansas","John F.",0.3662309430556444
"Kansas","Ralph",0.007870303328293016
"Kansas","Michael",0.0033786400573855234
"Kansas","Michael A.",0.002440736986384409
"Kansas","David",2.7783484149943255e-05
"Kansas","Bill",4.209618810597463e-06
"Kansas","John Joseph",4.209618810597463e-06
"Kansas","Walt",3.3676950484779703e-06
"Kentucky","George W.",0.5954951383220055
"Kentucky","John F.",0.39687072981409693
"Kentucky","Ralph",0.00493128167663577
"Kentucky","Michael",0.0014583363494928953
"Kentucky","Michael Anthony",0.0012322635897013279
"Kentucky","Walt",7.238782948991081e-06
"Kentucky","John Joseph",5.011465118532287e-06
"Louisiana","George W.",0.5672202134108999
"Louisiana","John F.",0.4221586470321228
"Louisiana","Ralph",0.0036189482200147598
"Louisiana","Michael A.",0.002677671727636063
"Louisiana","Michael",0.0014312137371816052
"Louisiana","Walter F.",0.0009237787336357358
"Louisiana","Gene",0.0008059261821022631
"Louisiana","David",0.0006566805928240662
"Louisiana","James",0.000506920363582841
"Maine","John F.",0.5357285569259347
"Maine","George W.",0.44576457437846945
"Maine","Ralph",0.010892984426636715
"Maine","David",0.0039635397541957365
"Maine","Michael",0.002652709678812882
"Maine","Michael",0.000992234918029246
"Maine","",""
"Maryland","John F.",0.5591424565861
"Maryland","George W.",0.4293427936236057
"Maryland","Ralph",0.004966736191476186
"Maryland","Michael",0.002553339830509185
"Maryland","David",0.0015217804831653035
"Maryland","Michael Anthony",0.0014333730817479358
"Maryland","Joe",1.1312795442032818e-05
"Maryland","John Joseph",2.932946966452953e-06
"Maryland","Theodis (Ted), Sr.",1.675969695115973e-06
